sample_id	study_id	cell_or_tissue
SAMD00013684	DRP001150	CD8 T cell
SAMD00013679	DRP001150	B cell
SAMD00013688	DRP001150	B cell
SAMD00013694	DRP001150	CD8 T cell
SAMD00013687	DRP001150	CD8 T cell
SAMD00013693	DRP001150	heart
SAMD00013696	DRP001150	CD8 T cell
SAMD00013678	DRP001150	CD8 T cell
SAMD00013675	DRP001150	B cell
SAMD00013689	DRP001150	B cell
SAMD00013690	DRP001150	B cell
SAMD00013698	DRP001150	B cell
SAMD00013691	DRP001150	CD8 T cell
SAMD00009005	DRP001797	HUVEC
SAMD00009000	DRP001797	endothelial cell
SAMD00009008	DRP001797	HUVEC
SAMD00009009	DRP001797	endothelial cell
SAMD00020293	DRP001797	endothelial cell
SAMD00008999	DRP001797	endothelial cell
SAMD00020289	DRP001797	endothelial cell
SAMD00008990	DRP001797	HUVEC
SAMD00008991	DRP001797	endothelial cell
SAMD00008996	DRP001797	endothelial cell
SAMD00008993	DRP001797	endothelial cell
SAMD00008992	DRP001797	endothelial cell
SAMD00009002	DRP001797	endothelial cell
SAMD00020292	DRP001797	endothelial cell
SAMD00020294	DRP001797	endothelial cell
SAMD00008995	DRP001797	endothelial cell
SAMD00008997	DRP001797	HUVEC
SAMD00009004	DRP001797	endothelial cell
SAMD00009007	DRP001797	endothelial cell
SAMD00009006	DRP001797	endothelial cell
SAMD00009003	DRP001797	endothelial cell
SAMD00020290	DRP001797	endothelial cell
SAMD00020291	DRP001797	HUVEC
SAMD00008998	DRP001797	HUVEC
SAMD00008994	DRP001797	endothelial cell
SAMD00009001	DRP001797	endothelial cell
SAMEA962344	ERP000546	brain
SAMEA962333	ERP000546	testis
SAMEA962341	ERP000546	colon
SAMEA962340	ERP000546	breast
SAMEA962350	ERP000546	ovary
SAMEA962347	ERP000546	skeletal muscle
SAMEA962335	ERP000546	liver
SAMEA962348	ERP000546	kidney
SAMEA962338	ERP000546	lung
SAMEA962349	ERP000546	heart
SAMEA962334	ERP000546	prostate
SAMEA962339	ERP000546	adipose tissue
SAMEA962332	ERP000546	thyroid
SAMEA1886550	ERP002021	MCF-7
SAMEA1886548	ERP002021	MCF-7
SAMEA1886552	ERP002021	MCF-7
SAMEA1886547	ERP002021	MCF-7
SAMEA1886556	ERP002021	MCF-7
SAMEA1886553	ERP002021	MCF-7
SAMEA1886545	ERP002021	MCF-7
SAMEA1886555	ERP002021	MCF-7
SAMEA1886551	ERP002021	MCF-7
SAMEA1886546	ERP002021	MCF-7
SAMEA1886549	ERP002021	MCF-7
SAMEA1886554	ERP002021	MCF-7
SAMEA2042213	ERP002049	epithelial cell
SAMEA2042209	ERP002049	epithelial cell
SAMEA2042214	ERP002049	epithelial cell
SAMEA2042212	ERP002049	epithelial cell
SAMEA2042207	ERP002049	epithelial cell
SAMEA2042211	ERP002049	epithelial cell
SAMEA2042208	ERP002049	epithelial cell
SAMEA2156809	ERP003467	keratinocyte
SAMEA2150354	ERP003467	keratinocyte
SAMEA2145939	ERP003467	keratinocyte
SAMEA2148932	ERP003467	keratinocyte
SAMEA2148322	ERP003467	keratinocyte
SAMEA2148554	ERP003467	keratinocyte
SAMEA2142330	ERP003467	keratinocyte
SAMEA2144823	ERP003467	keratinocyte
SAMEA2143838	ERP003467	keratinocyte
SAMEA2144367	ERP003467	keratinocyte
SAMEA2144221	ERP003467	keratinocyte
SAMEA2161767	ERP003467	keratinocyte
SAMEA2146551	ERP003467	keratinocyte
SAMEA2142988	ERP003467	keratinocyte
SAMEA2159282	ERP003467	keratinocyte
SAMEA2153120	ERP003467	keratinocyte
SAMEA1969275	ERP003467	keratinocyte
SAMEA2146610	ERP003467	keratinocyte
SAMEA2144333	ERP003613	lung
SAMEA2155590	ERP003613	liver
SAMEA2152568	ERP003613	colon
SAMEA2157511	ERP003613	stomach
SAMEA2159080	ERP003613	kidney
SAMEA1970526	ERP003613	kidney
SAMEA2142586	ERP003613	stomach
SAMEA2158188	ERP003613	testis
SAMEA2148093	ERP003613	testis
SAMEA1968968	ERP003613	testis
SAMEA2159764	ERP003613	spleen
SAMEA2151119	ERP003613	testis
SAMEA2157437	ERP003613	cerebral cortex
SAMEA2153031	ERP003613	spleen
SAMEA2145774	ERP003613	kidney
SAMEA2142680	ERP003613	adipose tissue
SAMEA2154665	ERP003613	cerebral cortex
SAMEA2148874	ERP003613	testis
SAMEA2162946	ERP003613	prostate
SAMEA2142348	ERP003613	colon
SAMEA2145743	ERP003613	cerebral cortex
SAMEA2158569	ERP003613	lung
SAMEA2156266	ERP003613	colon
SAMEA2146236	ERP003613	spleen
SAMEA2152798	ERP003613	colon
SAMEA2162328	ERP003613	kidney
SAMEA2161674	ERP003613	testis
SAMEA2162568	ERP003613	placenta
SAMEA2223477	ERP004078	lymphoblastoid
SAMEA2223471	ERP004078	lymphoblastoid
SAMEA2223479	ERP004078	lymphoblastoid
SAMEA2223480	ERP004078	lymphoblastoid
SAMEA2223475	ERP004078	lymphoblastoid
SAMEA2223474	ERP004078	lymphoblastoid
SAMEA2223468	ERP004078	lymphoblastoid
SAMEA2223470	ERP004078	lymphoblastoid
SAMEA2223469	ERP004078	lymphoblastoid
SAMEA2223473	ERP004078	lymphoblastoid
SAMEA2223472	ERP004078	lymphoblastoid
SAMEA2223476	ERP004078	lymphoblastoid
SAMEA2223481	ERP004078	lymphoblastoid
SAMEA2223478	ERP004078	lymphoblastoid
SAMEA2401044	ERP005301	monocyte
SAMEA2401041	ERP005301	monocyte
SAMEA2401045	ERP005301	monocyte
SAMEA2401043	ERP005301	monocyte
SAMEA2401040	ERP005301	monocyte
SAMEA2401047	ERP005301	monocyte
SAMEA2401042	ERP005301	monocyte
SAMEA2401046	ERP005301	monocyte
SAMEA2563964	ERP005953	brown adipose tissue
SAMEA2563966	ERP005953	brown adipose tissue
SAMEA2563960	ERP005953	white adipose tissue
SAMEA2563965	ERP005953	brown adipose tissue
SAMEA2563952	ERP005953	white adipose tissue
SAMEA2563957	ERP005953	brown adipose tissue
SAMEA2563953	ERP005953	white adipose tissue
SAMEA2563962	ERP005953	brown adipose tissue
SAMEA2563954	ERP005953	white adipose tissue
SAMEA2563968	ERP005953	white adipose tissue
SAMEA2563959	ERP005953	brown adipose tissue
SAMEA2563955	ERP005953	brown adipose tissue
SAMEA2563967	ERP005953	white adipose tissue
SAMEA2563951	ERP005953	brown adipose tissue
SAMEA2563963	ERP005953	brown adipose tissue
SAMEA2724903	ERP006216	macrophage
SAMEA2724889	ERP006216	macrophage
SAMEA2724896	ERP006216	macrophage
SAMEA2724897	ERP006216	macrophage
SAMEA2724887	ERP006216	macrophage
SAMEA2724899	ERP006216	macrophage
SAMEA2724895	ERP006216	macrophage
SAMEA2724893	ERP006216	macrophage
SAMEA2724890	ERP006216	macrophage
SAMEA2724894	ERP006216	macrophage
SAMEA2724900	ERP006216	macrophage
SAMEA2724888	ERP006216	macrophage
SAMEA2724901	ERP006216	macrophage
SAMEA2724891	ERP006216	macrophage
SAMEA2724892	ERP006216	macrophage
SAMEA2724902	ERP006216	macrophage
SAMEA2724898	ERP006216	macrophage
SAMEA2724886	ERP006216	macrophage
SAMEA2698402	ERP006650	colon
SAMEA2698408	ERP006650	skeletal muscle
SAMEA2698395	ERP006650	skeletal muscle
SAMEA2698409	ERP006650	skeletal muscle
SAMEA2698414	ERP006650	adipose tissue
SAMEA2698407	ERP006650	colon
SAMEA2698389	ERP006650	skeletal muscle
SAMEA2698394	ERP006650	adipose tissue
SAMEA2698385	ERP006650	skeletal muscle
SAMEA2474454	ERP007111	induced pluripotent stem cell
SAMEA2547622	ERP007111	induced pluripotent stem cell
SAMEA2698309	ERP007111	induced pluripotent stem cell
SAMEA2707499	ERP007111	induced pluripotent stem cell
SAMEA2609972	ERP007111	induced pluripotent stem cell
SAMEA2445790	ERP007111	induced pluripotent stem cell
SAMEA2518332	ERP007111	induced pluripotent stem cell
SAMEA2612483	ERP007111	induced pluripotent stem cell
SAMEA2645805	ERP007111	induced pluripotent stem cell
SAMEA2555017	ERP007111	induced pluripotent stem cell
SAMEA2678742	ERP007111	induced pluripotent stem cell
SAMEA2474456	ERP007111	induced pluripotent stem cell
SAMEA2518322	ERP007111	induced pluripotent stem cell
SAMEA2590621	ERP007111	induced pluripotent stem cell
SAMEA2445784	ERP007111	induced pluripotent stem cell
SAMEA2570435	ERP007111	induced pluripotent stem cell
SAMEA2518325	ERP007111	induced pluripotent stem cell
SAMEA2433566	ERP007111	induced pluripotent stem cell
SAMEA2536412	ERP007111	induced pluripotent stem cell
SAMEA2464810	ERP007111	induced pluripotent stem cell
SAMEA2399461	ERP007111	induced pluripotent stem cell
SAMEA2536416	ERP007111	induced pluripotent stem cell
SAMEA2547633	ERP007111	induced pluripotent stem cell
SAMEA2719619	ERP007111	induced pluripotent stem cell
SAMEA2627577	ERP007111	induced pluripotent stem cell
SAMEA2627567	ERP007111	induced pluripotent stem cell
SAMEA2547619	ERP007111	induced pluripotent stem cell
SAMEA2555012	ERP007111	induced pluripotent stem cell
SAMEA2536413	ERP007111	induced pluripotent stem cell
SAMEA2494988	ERP007111	induced pluripotent stem cell
SAMEA2518324	ERP007111	induced pluripotent stem cell
SAMEA2459961	ERP007111	induced pluripotent stem cell
SAMEA2682670	ERP007111	induced pluripotent stem cell
SAMEA2536410	ERP007111	induced pluripotent stem cell
SAMEA2547616	ERP007111	induced pluripotent stem cell
SAMEA2609965	ERP007111	induced pluripotent stem cell
SAMEA2645811	ERP007111	induced pluripotent stem cell
SAMEA2645809	ERP007111	induced pluripotent stem cell
SAMEA2474458	ERP007111	induced pluripotent stem cell
SAMEA2711371	ERP007111	induced pluripotent stem cell
SAMEA2613897	ERP007111	induced pluripotent stem cell
SAMEA2420640	ERP007111	induced pluripotent stem cell
SAMEA2464797	ERP007111	induced pluripotent stem cell
SAMEA2627141	ERP007111	induced pluripotent stem cell
SAMEA2593858	ERP007111	induced pluripotent stem cell
SAMEA2658090	ERP007111	induced pluripotent stem cell
SAMEA2609971	ERP007111	induced pluripotent stem cell
SAMEA2459959	ERP007111	induced pluripotent stem cell
SAMEA2658084	ERP007111	induced pluripotent stem cell
SAMEA2464819	ERP007111	induced pluripotent stem cell
SAMEA2398028	ERP007111	induced pluripotent stem cell
SAMEA2536417	ERP007111	induced pluripotent stem cell
SAMEA2533339	ERP007111	induced pluripotent stem cell
SAMEA2625589	ERP007111	induced pluripotent stem cell
SAMEA2613912	ERP007111	induced pluripotent stem cell
SAMEA2445783	ERP007111	induced pluripotent stem cell
SAMEA2625592	ERP007111	induced pluripotent stem cell
SAMEA2464814	ERP007111	induced pluripotent stem cell
SAMEA2658107	ERP007111	induced pluripotent stem cell
SAMEA2682671	ERP007111	induced pluripotent stem cell
SAMEA2627569	ERP007111	induced pluripotent stem cell
SAMEA2498700	ERP007111	induced pluripotent stem cell
SAMEA2547899	ERP007111	induced pluripotent stem cell
SAMEA2627578	ERP007111	induced pluripotent stem cell
SAMEA2678738	ERP007111	induced pluripotent stem cell
SAMEA2547637	ERP007111	induced pluripotent stem cell
SAMEA2649534	ERP007111	induced pluripotent stem cell
SAMEA2547644	ERP007111	induced pluripotent stem cell
SAMEA2398552	ERP007111	induced pluripotent stem cell
SAMEA2536404	ERP007111	induced pluripotent stem cell
SAMEA2645814	ERP007111	induced pluripotent stem cell
SAMEA2595426	ERP007111	induced pluripotent stem cell
SAMEA2445779	ERP007111	induced pluripotent stem cell
SAMEA2707507	ERP007111	induced pluripotent stem cell
SAMEA2547615	ERP007111	induced pluripotent stem cell
SAMEA2675459	ERP007111	induced pluripotent stem cell
SAMEA2464779	ERP007111	induced pluripotent stem cell
SAMEA2398080	ERP007111	induced pluripotent stem cell
SAMEA2518334	ERP007111	induced pluripotent stem cell
SAMEA2445787	ERP007111	induced pluripotent stem cell
SAMEA2433568	ERP007111	induced pluripotent stem cell
SAMEA2399463	ERP007111	induced pluripotent stem cell
SAMEA2533336	ERP007111	induced pluripotent stem cell
SAMEA2627571	ERP007111	induced pluripotent stem cell
SAMEA2797721	ERP007180	embryonic stem cell
SAMEA2797722	ERP007180	embryonic stem cell
SAMEA2797720	ERP007180	embryonic stem cell
SAMEA2797723	ERP007180	embryonic stem cell
SAMEA2797724	ERP007180	embryonic stem cell
SAMEA2797725	ERP007180	embryonic stem cell
SAMEA2825565	ERP008492	osteosarcoma
SAMEA2825562	ERP008492	osteosarcoma
SAMEA2825560	ERP008492	osteosarcoma
SAMEA2825567	ERP008492	osteosarcoma
SAMEA2825563	ERP008492	osteosarcoma
SAMEA2825558	ERP008492	osteosarcoma
SAMEA2825557	ERP008492	osteosarcoma
SAMEA2825559	ERP008492	osteosarcoma
SAMEA2825564	ERP008492	osteosarcoma
SAMEA2825566	ERP008492	osteosarcoma
SAMEA2825561	ERP008492	osteosarcoma
SAMEA3110425	ERP008608	fibroblast
SAMEA3110457	ERP008608	fibroblast
SAMEA3232174	ERP008608	fibroblast
SAMEA3110391	ERP008608	fibroblast
SAMEA3110414	ERP008608	fibroblast
SAMEA3110444	ERP008608	prefrontal cortex
SAMEA3110448	ERP008608	prefrontal cortex
SAMEA3110413	ERP008608	prefrontal cortex
SAMEA3110440	ERP008608	fibroblast
SAMEA3110397	ERP008608	prefrontal cortex
SAMEA3110447	ERP008608	fibroblast
SAMEA3292484	ERP008608	fibroblast
SAMEA3110375	ERP008608	fibroblast
SAMEA3110431	ERP008608	prefrontal cortex
SAMEA3110436	ERP008608	prefrontal cortex
SAMEA3110411	ERP008608	fibroblast
SAMEA3110377	ERP008608	prefrontal cortex
SAMEA3110403	ERP008608	prefrontal cortex
SAMEA3110451	ERP008608	prefrontal cortex
SAMEA3110394	ERP008608	fibroblast
SAMEA3110408	ERP008608	prefrontal cortex
SAMEA3110378	ERP008608	prefrontal cortex
SAMEA3110383	ERP008608	fibroblast
SAMEA3110426	ERP008608	prefrontal cortex
SAMEA3110376	ERP008608	fibroblast
SAMEA3110393	ERP008608	prefrontal cortex
SAMEA3110454	ERP008608	fibroblast
SAMEA3110442	ERP008608	prefrontal cortex
SAMEA3110452	ERP008608	fibroblast
SAMEA3110384	ERP008608	fibroblast
SAMEA3110438	ERP008608	fibroblast
SAMEA3110395	ERP008608	fibroblast
SAMEA3110388	ERP008608	fibroblast
SAMEA3110407	ERP008608	fibroblast
SAMEA3110455	ERP008608	fibroblast
SAMEA3110415	ERP008608	fibroblast
SAMEA3139812	ERP008803	macrophage
SAMEA3139815	ERP008803	macrophage
SAMEA3139816	ERP008803	macrophage
SAMEA3139814	ERP008803	macrophage
SAMEA3139813	ERP008803	macrophage
SAMEA3139811	ERP008803	macrophage
SAMEA3171871	ERP008967	embryonic stem cell
SAMEA3171851	ERP008967	embryonic stem cell
SAMEA3171866	ERP008967	embryonic stem cell
SAMEA3171853	ERP008967	embryonic stem cell
SAMEA3171863	ERP008967	embryonic stem cell
SAMEA3171884	ERP008967	embryonic stem cell
SAMEA3171857	ERP008967	embryonic stem cell
SAMEA3171875	ERP008967	embryonic stem cell
SAMEA3171881	ERP008967	embryonic stem cell
SAMEA3171862	ERP008967	embryonic stem cell
SAMEA3171854	ERP008967	embryonic stem cell
SAMEA3171852	ERP008967	embryonic stem cell
SAMEA3171883	ERP008967	embryonic stem cell
SAMEA3171861	ERP008967	embryonic stem cell
SAMEA3171856	ERP008967	embryonic stem cell
SAMEA3171860	ERP008967	embryonic stem cell
SAMEA3171869	ERP008967	embryonic stem cell
SAMEA3171886	ERP008967	embryonic stem cell
SAMEA3171858	ERP008967	embryonic stem cell
SAMEA3171877	ERP008967	embryonic stem cell
SAMEA3171882	ERP008967	embryonic stem cell
SAMEA3171868	ERP008967	embryonic stem cell
SAMEA3171885	ERP008967	embryonic stem cell
SAMEA3171880	ERP008967	embryonic stem cell
SAMEA3171874	ERP008967	embryonic stem cell
SAMEA3171855	ERP008967	embryonic stem cell
SAMEA3171865	ERP008967	embryonic stem cell
SAMEA3171864	ERP008967	embryonic stem cell
SAMEA3171870	ERP008967	embryonic stem cell
SAMEA3171859	ERP008967	embryonic stem cell
SAMEA3171867	ERP008967	embryonic stem cell
SAMEA3171876	ERP008967	embryonic stem cell
SAMEA3171879	ERP008967	embryonic stem cell
SAMEA3171878	ERP008967	embryonic stem cell
SAMEA3171873	ERP008967	embryonic stem cell
SAMEA3171872	ERP008967	embryonic stem cell
SAMEA3175744	ERP009022	macrophage
SAMEA3175751	ERP009022	macrophage
SAMEA3175755	ERP009022	macrophage
SAMEA3175749	ERP009022	macrophage
SAMEA3175756	ERP009022	macrophage
SAMEA3175750	ERP009022	macrophage
SAMEA3175746	ERP009022	macrophage
SAMEA3175753	ERP009022	macrophage
SAMEA3175745	ERP009022	macrophage
SAMEA3175748	ERP009022	macrophage
SAMEA3175752	ERP009022	macrophage
SAMEA3175747	ERP009022	macrophage
SAMEA3175754	ERP009022	macrophage
SAMEA3209350	ERP009282	lung
SAMEA3209348	ERP009282	lung
SAMEA3209349	ERP009282	lung
SAMEA3209347	ERP009282	lung
SAMEA3209351	ERP009282	lung
SAMEA3209353	ERP009282	lung
SAMEA3209352	ERP009282	lung
SAMEA3209346	ERP009282	lung
SAMEA3209354	ERP009282	lung
SAMEA3246194	ERP009514	hepatocyte
SAMEA3246198	ERP009514	hepatocyte
SAMEA3246193	ERP009514	hepatocyte
SAMEA3246210	ERP009514	hepatocyte
SAMEA3246197	ERP009514	hepatocyte
SAMEA3246192	ERP009514	hepatocyte
SAMEA3246208	ERP009514	hepatocyte
SAMEA3246199	ERP009514	hepatocyte
SAMEA3246196	ERP009514	hepatocyte
SAMEA3246200	ERP009514	hepatocyte
SAMEA3246189	ERP009514	hepatocyte
SAMEA3246195	ERP009514	hepatocyte
SAMEA3246202	ERP009514	hepatocyte
SAMEA3246207	ERP009514	hepatocyte
SAMEA3246201	ERP009514	hepatocyte
SAMEA3246204	ERP009514	hepatocyte
SAMEA3246191	ERP009514	hepatocyte
SAMEA3246209	ERP009514	hepatocyte
SAMEA3246205	ERP009514	hepatocyte
SAMEA3246190	ERP009514	hepatocyte
SAMEA3246206	ERP009514	hepatocyte
SAMEA3246211	ERP009514	hepatocyte
SAMEA3246203	ERP009514	hepatocyte
SAMEA3295960	ERP009768	granulocyte
SAMEA3305365	ERP009768	granulocyte
SAMEA3295958	ERP009768	granulocyte
SAMEA3296273	ERP009768	granulocyte
SAMEA3295959	ERP009768	granulocyte
SAMEA3296420	ERP009768	granulocyte
SAMEA3295957	ERP009768	granulocyte
SAMEA3301017	ERP009768	granulocyte
SAMEA3298567	ERP009768	granulocyte
SAMEA3295956	ERP009768	granulocyte
SAMEA3301028	ERP009768	granulocyte
SAMEA3301027	ERP009768	granulocyte
SAMEA3301031	ERP009768	granulocyte
SAMEA3305363	ERP009768	granulocyte
SAMEA3301029	ERP009768	granulocyte
SAMEA3301030	ERP009768	granulocyte
SAMEA3296149	ERP009768	granulocyte
SAMEA3296146	ERP009768	granulocyte
SAMEA3296419	ERP009768	granulocyte
SAMEA3296147	ERP009768	granulocyte
SAMEA3296148	ERP009768	granulocyte
SAMEA3301026	ERP009768	granulocyte
SAMEA3305364	ERP009768	granulocyte
SAMEA3294432	ERP009768	granulocyte
SAMEA3340230	ERP010142	breast cancer
SAMEA3340240	ERP010142	breast cancer
SAMEA3340201	ERP010142	breast cancer
SAMEA3340180	ERP010142	breast cancer
SAMEA3340254	ERP010142	breast cancer
SAMEA3340212	ERP010142	breast cancer
SAMEA3340252	ERP010142	breast cancer
SAMEA3340183	ERP010142	breast cancer
SAMEA3340208	ERP010142	breast cancer
SAMEA3340211	ERP010142	breast cancer
SAMEA3340195	ERP010142	breast cancer
SAMEA3340182	ERP010142	breast cancer
SAMEA3340203	ERP010142	breast cancer
SAMEA3340216	ERP010142	breast cancer
SAMEA3340219	ERP010142	breast cancer
SAMEA3340181	ERP010142	breast cancer
SAMEA3340215	ERP010142	breast cancer
SAMEA3340234	ERP010142	breast cancer
SAMEA3340256	ERP010142	breast cancer
SAMEA3340218	ERP010142	breast cancer
SAMEA3340186	ERP010142	breast cancer
SAMEA3340228	ERP010142	breast cancer
SAMEA3340250	ERP010142	breast cancer
SAMEA3340220	ERP010142	breast cancer
SAMEA3340190	ERP010142	breast cancer
SAMEA3340245	ERP010142	breast cancer
SAMEA3340233	ERP010142	breast cancer
SAMEA3340210	ERP010142	breast cancer
SAMEA3340225	ERP010142	breast cancer
SAMEA3340199	ERP010142	breast cancer
SAMEA3340197	ERP010142	breast cancer
SAMEA3340243	ERP010142	breast cancer
SAMEA3340248	ERP010142	breast cancer
SAMEA3340193	ERP010142	breast cancer
SAMEA3340198	ERP010142	breast cancer
SAMEA3340235	ERP010142	breast cancer
SAMEA3340185	ERP010142	breast cancer
SAMEA3340213	ERP010142	breast cancer
SAMEA3340200	ERP010142	breast cancer
SAMEA3340244	ERP010142	breast cancer
SAMEA3340251	ERP010142	breast cancer
SAMEA3340224	ERP010142	breast cancer
SAMEA3340247	ERP010142	breast cancer
SAMEA3340214	ERP010142	breast cancer
SAMEA3340232	ERP010142	breast cancer
SAMEA3340204	ERP010142	breast cancer
SAMEA3340227	ERP010142	breast cancer
SAMEA3340231	ERP010142	breast cancer
SAMEA3340209	ERP010142	breast cancer
SAMEA3340191	ERP010142	breast cancer
SAMEA3340222	ERP010142	breast cancer
SAMEA3340194	ERP010142	breast cancer
SAMEA3340229	ERP010142	breast cancer
SAMEA3340217	ERP010142	breast cancer
SAMEA3340237	ERP010142	breast cancer
SAMEA3340206	ERP010142	breast cancer
SAMEA3340242	ERP010142	breast cancer
SAMEA3340241	ERP010142	breast cancer
SAMEA3340223	ERP010142	breast cancer
SAMEA3340207	ERP010142	breast cancer
SAMEA3340202	ERP010142	breast cancer
SAMEA3340239	ERP010142	breast cancer
SAMEA3340192	ERP010142	breast cancer
SAMEA3340188	ERP010142	breast cancer
SAMEA3340246	ERP010142	breast cancer
SAMEA3340187	ERP010142	breast cancer
SAMEA3340236	ERP010142	breast cancer
SAMEA3340184	ERP010142	breast cancer
SAMEA3340189	ERP010142	breast cancer
SAMEA3340196	ERP010142	breast cancer
SAMEA3340253	ERP010142	breast cancer
SAMEA3340249	ERP010142	breast cancer
SAMEA3340205	ERP010142	breast cancer
SAMEA3340221	ERP010142	breast cancer
SAMEA3340226	ERP010142	breast cancer
SAMEA3340238	ERP010142	breast cancer
SAMEA3340255	ERP010142	breast cancer
SAMEA3340257	ERP010142	breast cancer
SAMEA3463552	ERP010786	epithelial cell
SAMEA3463548	ERP010786	epithelial cell
SAMEA3463553	ERP010786	epithelial cell
SAMEA3463549	ERP010786	epithelial cell
SAMEA3463551	ERP010786	epithelial cell
SAMEA3463550	ERP010786	epithelial cell
SAMEA3474075	ERP010930	brain
SAMEA3474079	ERP010930	brain
SAMEA3474057	ERP010930	brain
SAMEA3474068	ERP010930	brain
SAMEA3474063	ERP010930	brain
SAMEA3474042	ERP010930	brain
SAMEA3474058	ERP010930	brain
SAMEA3474049	ERP010930	brain
SAMEA3474064	ERP010930	brain
SAMEA3474044	ERP010930	brain
SAMEA3474061	ERP010930	brain
SAMEA3474041	ERP010930	brain
SAMEA3752111	ERP010930	brain
SAMEA3474062	ERP010930	brain
SAMEA3474073	ERP010930	brain
SAMEA3474067	ERP010930	brain
SAMEA3474069	ERP010930	brain
SAMEA3474081	ERP010930	brain
SAMEA3474084	ERP010930	brain
SAMEA3474051	ERP010930	brain
SAMEA3474070	ERP010930	brain
SAMEA3474053	ERP010930	brain
SAMEA3474066	ERP010930	brain
SAMEA3474052	ERP010930	brain
SAMEA3474086	ERP010930	brain
SAMEA3474060	ERP010930	brain
SAMEA3474056	ERP010930	brain
SAMEA3474072	ERP010930	brain
SAMEA3474043	ERP010930	brain
SAMEA3474085	ERP010930	brain
SAMEA3474046	ERP010930	brain
SAMEA3474082	ERP010930	brain
SAMEA3497627	ERP011301	epithelial cell
SAMEA3497625	ERP011301	epithelial cell
SAMEA3497626	ERP011301	epithelial cell
SAMEA3497628	ERP011301	epithelial cell
SAMEA3497624	ERP011301	epithelial cell
SAMEA3497629	ERP011301	epithelial cell
SAMEA3498924	ERP011411	pancreas
SAMEA3498920	ERP011411	pancreas
SAMEA3498912	ERP011411	pancreas
SAMEA3498914	ERP011411	pancreas
SAMEA3498917	ERP011411	pancreas
SAMEA3498911	ERP011411	pancreas
SAMEA3498918	ERP011411	pancreas
SAMEA3498908	ERP011411	pancreas
SAMEA3498926	ERP011411	pancreas
SAMEA3498919	ERP011411	pancreas
SAMEA3498921	ERP011411	pancreas
SAMEA3498913	ERP011411	pancreas
SAMEA3498915	ERP011411	pancreas
SAMEA3498909	ERP011411	pancreas
SAMEA3498925	ERP011411	pancreas
SAMEA3498916	ERP011411	pancreas
SAMEA3498923	ERP011411	pancreas
SAMEA3498922	ERP011411	pancreas
SAMEA3498910	ERP011411	pancreas
SAMEA3498927	ERP011411	pancreas
SAMEA3627573	ERP012838	MCF-7
SAMEA3627570	ERP012838	MCF-7
SAMEA3627571	ERP012838	MCF-7
SAMEA3627575	ERP012838	MCF-7
SAMEA3627576	ERP012838	MCF-7
SAMEA3627580	ERP012838	MCF-7
SAMEA3627581	ERP012838	MCF-7
SAMEA3627572	ERP012838	MCF-7
SAMEA3627577	ERP012838	MCF-7
SAMEA3627579	ERP012838	MCF-7
SAMEA3719016	ERP013700	macrophage
SAMEA3719001	ERP013700	ovarian cancer
SAMEA3719006	ERP013700	ovarian cancer
SAMEA3719018	ERP013700	macrophage
SAMEA3719011	ERP013700	ovarian cancer
SAMEA3718998	ERP013700	ovarian cancer
SAMEA3718988	ERP013700	ovarian cancer
SAMEA3719003	ERP013700	ovarian cancer
SAMEA3718990	ERP013700	ovarian cancer
SAMEA3718991	ERP013700	ovarian cancer
SAMEA3718994	ERP013700	ovarian cancer
SAMEA3719012	ERP013700	macrophage
SAMEA3718993	ERP013700	ovarian cancer
SAMEA3718995	ERP013700	ovarian cancer
SAMEA3719013	ERP013700	macrophage
SAMEA3719008	ERP013700	ovarian cancer
SAMEA3719017	ERP013700	macrophage
SAMEA3718992	ERP013700	ovarian cancer
SAMEA3719010	ERP013700	ovarian cancer
SAMEA3719000	ERP013700	ovarian cancer
SAMEA3719007	ERP013700	ovarian cancer
SAMEA3718999	ERP013700	ovarian cancer
SAMEA3719014	ERP013700	macrophage
SAMEA3719009	ERP013700	ovarian cancer
SAMEA3718987	ERP013700	ovarian cancer
SAMEA3718997	ERP013700	ovarian cancer
SAMEA3719019	ERP013700	macrophage
SAMEA3719015	ERP013700	macrophage
SAMEA3719005	ERP013700	ovarian cancer
SAMEA3718989	ERP013700	ovarian cancer
SAMEA3864057	ERP014117	neuron
SAMEA3864056	ERP014117	neuron
SAMEA3864051	ERP014117	neuron
SAMEA3864052	ERP014117	neuron
SAMEA3864055	ERP014117	neuron
SAMEA3864049	ERP014117	neuron
SAMEA3864048	ERP014117	fibroblast
SAMEA3864050	ERP014117	neuron
SAMEA3864054	ERP014117	neuron
SAMEA3864053	ERP014117	neuron
SAMEA3940370	ERP015294	fibroblast
SAMEA3940360	ERP015294	fibroblast
SAMEA3940365	ERP015294	fibroblast
SAMEA3940357	ERP015294	fibroblast
SAMEA3940344	ERP015294	fibroblast
SAMEA3940364	ERP015294	fibroblast
SAMEA3940336	ERP015294	fibroblast
SAMEA3940382	ERP015294	fibroblast
SAMEA3940345	ERP015294	fibroblast
SAMEA3940373	ERP015294	fibroblast
SAMEA3940362	ERP015294	fibroblast
SAMEA3940341	ERP015294	fibroblast
SAMEA3940338	ERP015294	fibroblast
SAMEA3940381	ERP015294	fibroblast
SAMEA3940342	ERP015294	fibroblast
SAMEA3940387	ERP015294	fibroblast
SAMEA3940351	ERP015294	fibroblast
SAMEA3940348	ERP015294	fibroblast
